nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Garaje,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Terraza,Jardín,Piscina,Orientación,Soleado,No se aceptan mascotas,Amueblado,Trastero,Superficie solar,Se aceptan mascotas,Chimenea,Gastos de comunidad,Agua,Gas,Luz,Interior,Urbanizado,Calle alumbrada,Calle asfaltada,Tipo de casa
Piso en Carrer de la Reina Amàlia,INMOSERVICE BARCELONA,27 €/m²,1.900 €/mes,70 m²,https://www.pisos.com/alquilar/piso-el_raval08001-18377331955_100500/,Anuncio actualizado el 19/01/2025,"B, A","B, A",barcelona,70 m²,65 m²,2,2,3ª,,Menos de 5 años,,SA1366-ISBMP114/2015,1,,,,,,N/A,Eléctrica,,,,,,N/A,,N/A,,N/A,N/A,,Comunitaria,,,,N/A,,,,,,N/A,,,,,,,
Piso en Alella,GP CASA VILASSAR,14 €/m²,2.000 €/mes,140 m²,https://www.pisos.com/alquilar/piso-alella_centro_urbano-24224510446_517277/,Anuncio actualizado el 28/01/2025,"D, D","D, D",barcelona,140 m²,120 m²,3,2,Bajo,,Entre 10 y 20 años,En buen estado,4517277-GP770,,,,N/A,Aluminio,,Frío y calor,Central,N/A,N/A,,1,,N/A,,,,,,,,Noroeste,,,N/A,,,,,,,,,,,,,
Apartamento en Llevantina-Montgavina-Quint-Mar-Garraf,Durán Carasso,24 €/m²,2.450 €/mes,100 m²,https://www.pisos.com/alquilar/apartamento-llevantina_montgavina_quint_mar_garraf08870-50914245389_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,100 m²,,3,2,,,,,BM201-5812,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaça de Francesc Macià,OAK PROPERTIES,28 €/m²,6.797 €/mes,240 m²,https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08021-50080858865_522145/,Anuncio actualizado el 02/12/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,240 m²,230 m²,4,3,5ª,N/A,,En buen estado,522145-Macyas,Más de 2,,Parquet,,Madera,,Frío y calor,Gas natural,N/A,N/A,N/A,1,N/A,,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,N/A,,N/A,,,,,,,,,,
"Piso en Carrer de Nàpols, 130",BADI PLUS,45 €/m²,2.250 €/mes,50 m²,https://www.pisos.com/alquilar/piso-el_fort_pienc08013-46719170673_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,50 m²,45 m²,1,1,1ª,N/A,,En buen estado,SA5480-Marina,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,,N/A,,,Oeste,,,N/A,,,N/A,,,,,,,,,,
Piso en Travessera de Gràcia,OAK PROPERTIES,19 €/m²,2.150 €/mes,110 m²,https://www.pisos.com/alquilar/piso-el_camp_en_grassot_gracia_nova08012-51726619763_522145/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,110 m²,100 m²,3,1,2ª,N/A,Entre 5 y 10 años,En buen estado,522145-000543,Más de 2,N/A,Parquet,,Madera,,Frío y calor,Central,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,Suroeste,N/A,,N/A,,,,,,,,,N/A,,,,
Apartamento en Carrer de la Portaferrissa,STAY MANAGEMENT,36 €/m²,1.500 €/mes,41 m²,https://www.pisos.com/alquilar/apartamento-el_barri_gotic08002-23375918715_100500/,Anuncio actualizado el 29/08/2023,Error al procesar consumo,Error al procesar emisiones,barcelona,41 m²,,,1,,N/A,,En buen estado,sa1278-Estudio Portaferrissa,,,,,,,Frío,Central,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,
Piso en Poble Sec/Observatori,FINQUES BUSINFREU,17 €/m²,1.130 €/mes,64 m²,https://www.pisos.com/alquilar/piso-els_molins_poble_sec_pins_vens-50906384636_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,64 m²,52 m²,2,1,Bajo,,Entre 30 y 50 años,,SA1427-B01262/4969,,,Terrazo,,,,,N/A,,,,,,,,,,,N/A,,,Noreste,,,,,,,N/A,,,,,,,,,
"Piso en Carrer de la Ribera, 10",BADI PLUS,26 €/m²,1.855 €/mes,70 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-46695811574_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,70 m²,,1,1,2ª,N/A,,En buen estado,SA5480-Zeleste,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,N/A,,,,Oeste,,N/A,N/A,,,,,,,,,,,,,
Piso en L'Antiga Esquerra de l'Eixample,"PISOS UNIVERSITAT MAR, S.L.",43 €/m²,1.000 €/mes,23 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08011-50882936529_100200/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,23 m²,,1,1,6ª,,Entre 30 y 50 años,En buen estado,TC332-608141,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Carrer de la Portaferrissa,STAY MANAGEMENT,43 €/m²,1.600 €/mes,37 m²,https://www.pisos.com/alquilar/apartamento-el_barri_gotic08002-3406089770_100500/,Anuncio actualizado el 29/08/2023,Error al procesar consumo,Error al procesar emisiones,barcelona,37 m²,,1,1,,N/A,,En buen estado,SA1278-Entreplanta,,,,,,,Frío,Central,,,,,,,,,,,,,,,N/A,,N/A,,,,,Más de 100 €,,,,,,,,
"Piso en Carrer de Nàpols, 128",BADI PLUS,45 €/m²,2.250 €/mes,50 m²,https://www.pisos.com/alquilar/piso-el_fort_pienc08013-46743812630_100500/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,50 m²,49 m²,1,1,2ª,N/A,,En buen estado,SA5480-Seda,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,N/A,,N/A,,,,,,,,,,
"Piso en Carrer de Nàpols, 130",BADI PLUS,48 €/m²,2.425 €/mes,50 m²,https://www.pisos.com/alquilar/piso-el_fort_pienc08013-46764244619_100500/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,50 m²,45 m²,1,1,2ª,N/A,,En buen estado,SA5480-Castaner,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,,N/A,,,Oeste,,,N/A,,,N/A,,,,,,,,,,
Piso en Torrent Llops,FINCAS LARPE,13 €/m²,1.200 €/mes,90 m²,https://www.pisos.com/alquilar/piso-martorell_centro_urbano-50903366909_500732/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,90 m²,80 m²,3,2,1ª,N/A,Entre 20 y 30 años,En buen estado,500732-01022,1,Sapely,Terrazo,Tipo climalit,Aluminio,,,Gas natural,Office,Independiente,N/A,,N/A,N/A,,N/A,,N/A,,,,,,N/A,,,,,,,,Natural,,,,,,
Ático en Passeig de Gràcia,OAK PROPERTIES,31 €/m²,2.500 €/mes,80 m²,https://www.pisos.com/alquilar/atico-la_dreta_de_eixample08008-51676585855_522145/,Anuncio actualizado el 20/02/2025,"D, D","D, D",barcelona,80 m²,65 m²,1,1,5ª,N/A,Menos de 5 años,En buen estado,522145-Patsys,2,N/A,Parquet,N/A,Madera,N/A,Frío y calor,Eléctrica,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,Sureste,,,N/A,,,N/A,,,,,,N/A,,,,
"Piso en Carrer de Balmes, 450",BADI PLUS,33 €/m²,2.500 €/mes,75 m²,https://www.pisos.com/alquilar/piso-el_putxet_el_farro08022-46742347834_100500/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,75 m²,74 m²,2,2,,N/A,Más de 50 años,En buen estado,SA5480-Tamarita,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,N/A,,,,Este,,,N/A,,,N/A,,,,,,,,,,
Casa en El Masnou,GP CASA VILASSAR,10 €/m²,6.500 €/mes,591 m²,https://www.pisos.com/alquilar/casa-el_masnou_centro_urbano-27593134038_517277/,Anuncio actualizado el 23/01/2025,"D, D","D, D",barcelona,591 m²,450 m²,6,6,,,Entre 10 y 20 años,En buen estado,4517277-GP776_A,,,,,,,,,N/A,N/A,N/A,Más de 2,,,N/A,,,,,Privado,Propia,Al mar,,,,,1.000 m²,,,,,,,,,,,
"Piso en Carrer de Nàpols, 130",BADI PLUS,53 €/m²,2.650 €/mes,50 m²,https://www.pisos.com/alquilar/piso-el_fort_pienc08013-46696494054_100500/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,50 m²,45 m²,1,1,1ª,N/A,,En buen estado,SA5480-Carlit,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,,N/A,,,Oeste,,,N/A,,,N/A,,,,,,,,,,
Piso en La Dreta de L´Eixample,GP CASA VILASSAR,33 €/m²,5.000 €/mes,150 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08008-35002884422_517277/,Anuncio actualizado el 23/01/2025,"D, D","D, D",barcelona,150 m²,135 m²,4,3,3ª,N/A,Más de 50 años,Reformado,4517277-GP796,,,Parquet,N/A,Aluminio,,Frío y calor,Central,N/A,N/A,,,,N/A,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de la Mercè,MARCOVE,21 €/m²,2.000 €/mes,95 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-42531507672_108900/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,95 m²,86 m²,3,2,1ª,N/A,,,XA755-489,,,,,,,N/A,N/A,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,
"Estudio en Carrer de la Tapineria, 3",BADI PLUS,43 €/m²,1.530 €/mes,35 m²,https://www.pisos.com/alquilar/estudio-el_barri_gotic08002-46711246128_100500/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,35 m²,30 m²,,1,5ª,N/A,,En buen estado,SA5480-Laietana,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,N/A,,,,Este,,,N/A,,,N/A,,,,,,,,,,
"Piso en Carrer de la Ribera, 10",BADI PLUS,37 €/m²,2.425 €/mes,65 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-46749601649_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,65 m²,60 m²,1,1,,N/A,Más de 50 años,En buen estado,SA5480-Vilanova,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,N/A,,,,Oeste,,,N/A,,,N/A,,,,,,,,,,
"Ático en Carrer de la Ribera, 10",BADI PLUS,27 €/m²,2.725 €/mes,100 m²,https://www.pisos.com/alquilar/atico-sant_pere_santa_caterina_la_ribera08003-46682867273_100500/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,100 m²,60 m²,1,1,5ª,N/A,Más de 50 años,En buen estado,SA5480-Ciudadela,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,,N/A,,,Este,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Pau Claris,Ukio,35 €/m²,3.885 €/mes,108 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-49206925666_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,108 m²,,3,3,1ª,N/A,,En buen estado,SA5112-KUSKU,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Villarroel,Ukio,25 €/m²,3.320 €/mes,130 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08011-40853668596_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,130 m²,,3,1,4ª,N/A,,En buen estado,SA5112-MORELL,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,N/A,N/A,,,,,,,,,,,,,
Apartamento en Llevantina-Montgavina-Quint-Mar-Garraf,Durán Carasso,18 €/m²,4.200 €/mes,232 m²,https://www.pisos.com/alquilar/apartamento-llevantina_montgavina_quint_mar_garraf08870-50852261979_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,232 m²,,4,,,,,,BM201-5816,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Vallpineda-Rocamar,"Finques Parellades, su inmobiliaria en Sitges",13 €/m²,1.500 €/mes,115 m²,https://www.pisos.com/alquilar/piso-vallpineda_rocamar-49211478085_134500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,115 m²,95 m²,3,2,4ª,N/A,Más de 50 años,En buen estado,1345-009404,,Madera,,,,,Frío y calor,Gasoil,N/A,N/A,N/A,,,,,,,,N/A,Comunitario,Propia,Al mar,N/A,,N/A,En comunidad,,,,,,,,,,,,
Casa en Centre Urbà,GP CASA VILASSAR,10 €/m²,7.000 €/mes,700 m²,https://www.pisos.com/alquilar/casa-centre_urba-25853583073_517277/,Anuncio actualizado el 08/02/2024,"D, D","D, D",barcelona,700 m²,650 m²,7,10,,,,En buen estado,517277-GP237_A,,N/A,,,Aluminio,,Frío y calor,Gas natural,N/A,100.00,N/A,Más de 2,,,,,,,N/A,Privado,Propia,,,,N/A,,2.200 m²,,N/A,,,,,,,,,
Piso en Carrer de Villarroel,Ukio,38 €/m²,2.470 €/mes,65 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08011-40907345891_100500/,Anuncio actualizado el 13/01/2025,"E, E","E, E",barcelona,65 m²,,1,1,2ª,N/A,,En buen estado,SA5112-BIESCAS,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,
Piso en Carrer de Joan Salvat-Papasseit,PREMIUM HOUSES SITGES,22 €/m²,4.000 €/mes,180 m²,https://www.pisos.com/alquilar/piso-sant_sebastia_aiguadolc08870-6678927722_100500/,Anuncio actualizado el 04/02/2025,"E, E","E, E",barcelona,180 m²,160 m²,3,2,1ª,,Más de 50 años,,SA1988-PHS100100/7088,1,,,,,N/A,N/A,Gas natural,,N/A,,,,,,,,,N/A,N/A,Comunitaria,Sur,,,N/A,,,,N/A,,N/A,,,,,,,
Ático en Avinguda de Pedralbes,OAK PROPERTIES,31 €/m²,17.000 €/mes,546 m²,https://www.pisos.com/alquilar/atico-pedralbes08034-45008321655_522145/,Anuncio actualizado el 18/07/2024,"A, A","A, A",barcelona,546 m²,503 m²,5,6,7ª,N/A,Menos de 5 años,A estrenar,522145-Christies,Más de 2,N/A,Parquet,N/A,Madera,N/A,Frío y calor,Central,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,,N/A,N/A,Privado,,Sureste,N/A,,N/A,N/A,,N/A,,,,,,N/A,,,,
Ático en Carrer de Muntaner,WALTER HAUS,46 €/m²,3.500 €/mes,75 m²,https://www.pisos.com/alquilar/atico-antiga_esquerra_de_eixample08011-51681175331_101800/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,75 m²,,2,2,,,,,IF7349-5131,1,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Ático en Carrer de Sepúlveda,Ukio,19 €/m²,2.625 €/mes,134 m²,https://www.pisos.com/alquilar/atico-eixample_sant_antoni08015-40880564760_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,134 m²,67 m²,2,2,5ª,N/A,,En buen estado,SA5112-VIETRI,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de la Ciutat de Granada,Ukio,49 €/m²,3.345 €/mes,67 m²,https://www.pisos.com/alquilar/piso-el_parc_la_llacuna_del_poblenou08018-40877177846_100500/,Anuncio actualizado el 05/02/2025,"E, E","E, E",barcelona,67 m²,,2,2,6ª,N/A,,En buen estado,SA5112-SOLE,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Sant Jaume,IHGest,14 €/m²,1.390 €/mes,95 m²,https://www.pisos.com/alquilar/piso-manresa_sagrada_familia08241-49263231541_525162/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,95 m²,88 m²,4,1,1ª,N/A,,En buen estado,4525162-000028,,,,,,,,Gas natural,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de Casanova,Ukio,33 €/m²,2.540 €/mes,75 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08011-40926700251_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,75 m²,,2,2,4ª,N/A,,En buen estado,SA5112-SONGE,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,41 €/m²,2.725 €/mes,66 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08011-40908130523_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,66 m²,,2,2,5ª,,,En buen estado,SA5112-BOTIJO,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,N/A,,,,
Piso en Passeig Sant Joan,Ukio,37 €/m²,3.700 €/mes,100 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08037-40871763029_100500/,Anuncio actualizado el 05/02/2025,"E, E","E, E",barcelona,100 m²,,3,1,5ª,N/A,,En buen estado,SA5112-HAKU,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Pau Claris,Ukio,36 €/m²,4.060 €/mes,110 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-49234613854_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,110 m²,,3,3,2ª,N/A,,En buen estado,SA5112-CHIXOY,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Villarroel,Ukio,31 €/m²,2.980 €/mes,96 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08036-40902472455_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona,96 m²,,3,2,4ª,N/A,,En buen estado,SA5112-SERON,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer del Comte Borrell,Ukio,30 €/m²,2.445 €/mes,79 m²,https://www.pisos.com/alquilar/piso-el_raval08001-40928338089_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,79 m²,,2,1,1ª,N/A,,En buen estado,SA5112-LENDU,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Eixample-Sant Oleguer,IHGest,15 €/m²,1.700 €/mes,110 m²,https://www.pisos.com/alquilar/piso-eixample_sant_oleguer-38359255316_525162/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,110 m²,91 m²,4,2,1ª,,,En buen estado,"4525162-Daoiz, Sabadell",,,,,,,,Gas natural,,,,,,,,N/A,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,
Piso en Carrer de Casanova,Ukio,49 €/m²,3.450 €/mes,70 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08011-40883461628_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,70 m²,,2,1,3ª,N/A,,En buen estado,SA5112-LYS,1,,,,,,N/A,,,,,,,,,N/A,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,37 €/m²,2.560 €/mes,69 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08007-40905444242_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona,69 m²,,3,2,5ª,N/A,,En buen estado,SA5112-VIELLA,1,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer Gran de Gràcia,Ukio,48 €/m²,4.365 €/mes,90 m²,https://www.pisos.com/alquilar/piso-la_vila_de_gracia08006-49255122827_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,90 m²,,2,2,1ª,N/A,,En buen estado,SA5112-CUMULUS,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Apartamento en Carrer de Pau Claris,OAK PROPERTIES,73 €/m²,16.000 €/mes,217 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08009-46685893154_522145/,Anuncio actualizado el 13/08/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,217 m²,217 m²,4,3,Principal,N/A,Menos de 5 años,Reformado,522145-Claris,Más de 2,,Parquet,,Madera,N/A,Frío y calor,Central,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Privado,,Este,,,N/A,N/A,,,,,,N/A,,N/A,,,,
Piso en Carrer de la Mercè,MARCOVE,33 €/m²,2.100 €/mes,63 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-50002711772_108900/,Anuncio actualizado el 19/02/2025,"G, E","G, E",barcelona,63 m²,54 m²,2,1,4ª,N/A,,,XA755-505,,,,,,,N/A,N/A,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,
"Estudio en Carrer de la Tapineria, 3",BADI PLUS,39 €/m²,1.575 €/mes,40 m²,https://www.pisos.com/alquilar/estudio-el_barri_gotic08002-46754934995_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,40 m²,30 m²,,1,4ª,N/A,,En buen estado,SA5480-Atrio,1,,,,,,N/A,Central,N/A,,,,,,,,,N/A,,,,Oeste,,,N/A,,,N/A,,,,,,,,,,
Dúplex en Carrer d'Escipió,Ukio,30 €/m²,6.500 €/mes,212 m²,https://www.pisos.com/alquilar/duplex-el_putxet_el_farro08023-40902662494_100500/,Anuncio actualizado el 30/01/2025,"E, E","E, E",barcelona,212 m²,,3,3,,N/A,,En buen estado,SA5112-GAUDI,1,,,,,,N/A,,N/A,,,,,,,,,N/A,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Centre,PREMIUM HOUSES SITGES,14 €/m²,2.000 €/mes,138 m²,https://www.pisos.com/alquilar/piso-sitges_centre-38341270205_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona,138 m²,105 m²,4,2,2ª,,Entre 30 y 50 años,,SA1988-PHS100808/7088,1,,Gres,,,N/A,N/A,Gas natural,,N/A,,,,,N/A,N/A,,N/A,N/A,,,Oeste,,,N/A,N/A,,,N/A,,N/A,,,,,,,
Ático en Carrer de Balmes,Ukio,35 €/m²,2.825 €/mes,79 m²,https://www.pisos.com/alquilar/atico-el_putxet_el_farro08023-40888431679_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,79 m²,,1,1,7ª,N/A,,En buen estado,SA5112-SPIAGGIA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Ático en Carrer d'Aribau,Ukio,54 €/m²,4.900 €/mes,90 m²,https://www.pisos.com/alquilar/atico-sant_gervasi_galvany08021-40872161453_100500/,Anuncio actualizado el 24/01/2025,"E, E","E, E",barcelona,90 m²,,3,2,8ª,N/A,,En buen estado,SA5112-AURA,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Passeig del Taulat,Ukio,36 €/m²,5.400 €/mes,150 m²,https://www.pisos.com/alquilar/piso-diagonal_mar_el_front_maritim_del_poblenou08019-40893792318_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona,150 m²,,3,2,15ª,N/A,,En buen estado,SA5112-PAVOTS,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,N/A,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Tamarit,Ukio,38 €/m²,4.095 €/mes,107 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08015-40855606380_100500/,Anuncio actualizado el 27/12/2024,"E, E","E, E",barcelona,107 m²,,3,3,4ª,N/A,,En buen estado,SA5112-CAMPRO,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Passeig de Pujades,Ukio,30 €/m²,3.850 €/mes,125 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08018-40899251011_100500/,Anuncio actualizado el 27/01/2025,"E, E","E, E",barcelona,125 m²,,3,2,,N/A,,En buen estado,SA5112-ALAJAR,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Passeig Sant Joan,Ukio,32 €/m²,3.565 €/mes,110 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08013-40925676133_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona,110 m²,,3,2,1ª,N/A,,En buen estado,SA5112-LUIZA,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,28 €/m²,4.565 €/mes,159 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08009-40920727903_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona,159 m²,,3,3,5ª,N/A,,En buen estado,SA5112-ATRANI,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Passeig de Gràcia,Ukio,37 €/m²,2.975 €/mes,80 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-40921859044_100500/,Anuncio actualizado el 28/11/2024,"D, D","D, D",barcelona,80 m²,,2,2,4ª,N/A,,En buen estado,SA5112-ZAMBA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer del Consell de Cent,Ukio,46 €/m²,2.625 €/mes,56 m²,https://www.pisos.com/alquilar/piso-la_sagrada_familia08013-40884833778_100500/,Anuncio actualizado el 24/12/2024,"E, E","E, E",barcelona,56 m²,,1,1,4ª,N/A,,En buen estado,SA5112-CELONI,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Ático en Carrer dels Enamorats,Ukio,35 €/m²,3.905 €/mes,110 m²,https://www.pisos.com/alquilar/atico-la_sagrada_familia08013-40894250616_100500/,Anuncio actualizado el 23/12/2024,"F, E","F, E",barcelona,110 m²,,3,2,6ª,N/A,,En buen estado,SA5112-YOKO,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
