nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Superficie útil,Planta,Gastos de comunidad,Tipo suelo,Trastero,Puerta blindada,Ascensor,Balcón,Orientación,Exterior,Amueblado,Carpintería interior,Vidrios dobles,Carpintería exterior,Teléfono,Cocina equipada,Comedor,Portero automático,Sistema de seguridad,Soleado,Se aceptan mascotas,Superficie solar,Urbanizado,Armarios empotrados,Gas,Lavadero,Adaptado a personas con movilidad reducida,Agua,Chimenea,Tipo de casa,Luz,Calle alumbrada,Calle asfaltada,Interior,No se aceptan mascotas
Casa en Bellamar,DEXTRA PISOS,4.923 €/m²,970.000 €,197 m²,https://www.pisos.com/comprar/casa-castelldefels_el_poal-50901094045_500567/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),197 m²,4,2,Más de 50 años,En buen estado,500567-84071,,Central,1,Porche 40m² con zona barbacoa. Conecta con piscina,Privado,Propia,172 m²,,,Mármol,,N/A,,,Sur,,,Madera blanca,N/A,Aluminio,,21 sale a un balcón que accede a la zona barbacoa,45 sale a balcón y ventanales mirador,,N/A,,,438 m²,N/A,Más de 2,Natural,N/A,,,N/A,,,N/A,N/A,,
Piso en Molins de Rei,FINCAS ROSILLO,3.086 €/m²,355.000 €,115 m²,https://www.pisos.com/comprar/piso-molins_de_rei_centro_urbano-25069522864_997822/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),115 m²,4,2,Entre 20 y 30 años,En buen estado,4997822-1040-22,Frío y calor,Gas natural,2,,,,98 m²,3ª,,Parquet,Buhardillaa - trastero,N/A,N/A,N/A,,N/A,,,,,,,,Videoportero,,N/A,,,,1,N/A,,,,,,,,,,
Piso en Marianao,Nova Sant Boi Sl,2.076 €/m²,189.000 €,91 m²,https://www.pisos.com/comprar/piso-marianao-50061531376_100200/,Anuncio actualizado el 04/02/2025,"F, G","F, G",baix_llobregat (BCN),91 m²,3,1,Entre 30 y 50 años,En buen estado,TC945-602595,,,,,,,,4ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de la Constitució,NovaImmobiliaria,4.829 €/m²,454.000 €,94 m²,https://www.pisos.com/comprar/piso-castelldefels_centre-38404465517_501711/,Anuncio actualizado el 20/02/2025,"A, A","A, A",baix_llobregat (BCN),94 m²,3,2,Menos de 5 años,A estrenar,501711-VD686,Aerotermia,Aerotermia,1,,,,80 m²,2ª,,Parquet,,N/A,N/A,N/A,,N/A,,N/A,N/A,,,N/A,N/A,N/A,,N/A,N/A,,,,,,N/A,,,,,,,,
Piso en Sant Ildefons,FINCAS-MIRANDA.COM,3.100 €/m²,248.000 €,80 m²,https://www.pisos.com/comprar/piso-sant_ildefons-51682000535_992351/,Anuncio actualizado el 17/02/2025,"F, F","F, F",baix_llobregat (BCN),80 m²,4,1,Más de 50 años,En buen estado,4992351-06044,,,,,,,64 m²,9ª,,Gres,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Joaquim Rubió i Ors,ESTRENUS,4.722 €/m²,425.000 €,90 m²,https://www.pisos.com/comprar/duplex-cornella_de_llobregat_centre-5171944874_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),90 m²,3,1,,A estrenar,4529415-21744279,,,,,,,,3ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Margarida Xirgu,Viure A Les Planes Slu,3.381 €/m²,629.000 €,186 m²,https://www.pisos.com/comprar/piso-sant_joan_despi_centro_urbano-49251728017_100200/,Anuncio actualizado el 23/01/2025,"E, D","E, D",baix_llobregat (BCN),186 m²,5,2,Entre 20 y 30 años,En buen estado,TC1145-601417,N/A,Central,,N/A,,,,4ª,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Castell-Poble Vell,Tecnocasa Castelldefels Valoración GRATUITA,2.544 €/m²,318.000 €,125 m²,https://www.pisos.com/comprar/piso-el_castell_poble_vell-42599370780_100200/,Anuncio actualizado el 19/02/2025,"E, E","E, E",baix_llobregat (BCN),125 m²,4,2,Entre 30 y 50 años,En buen estado,TC724-508761,,N/A,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en El Poal,Durán Carasso,4.188 €/m²,800.000 €,191 m²,https://www.pisos.com/comprar/casa-castelldefels_el_poal-44195629345_105600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),191 m²,3,2,,,BM201-5116,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,928 m²,,,,,,,,,,,,,
Piso en Els Canyars,Tecnocasa Castelldefels Valoración GRATUITA,3.823 €/m²,195.000 €,51 m²,https://www.pisos.com/comprar/piso-els_canyars-49182387728_100200/,Anuncio actualizado el 16/02/2025,"C, C","C, C",baix_llobregat (BCN),51 m²,1,1,Entre 10 y 20 años,En buen estado,TC724-600902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Feliu de Llobregat,Engel & Völkers MMC Barcelona,4.500 €/m²,405.000 €,90 m²,https://www.pisos.com/comprar/piso-sant_feliu_de_llobregat_centro_urbano08980-5012896430_109700/,Anuncio actualizado el 04/12/2024,"A, A","A, A",baix_llobregat (BCN),90 m²,2,2,,A estrenar,IF76306-D-000HAK,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Fontpineda,Bufet Immobiliari,1.977 €/m²,625.000 €,316 m²,https://www.pisos.com/comprar/casa-fontpineda-48417169569_522254/,Anuncio actualizado el 23/01/2025,"E, E","E, E",baix_llobregat (BCN),316 m²,6,2,Más de 50 años,En buen estado,522254-PA32,,,,,Privado,Propia,220 m²,,,Gres,,,,,Sur,,N/A,,,,,N/A,N/A,,,,,1.606 m²,N/A,Más de 2,,,,,,,,N/A,N/A,,
"Casa en Carrer de la Roureda, 50",NovaImmobiliaria,1.721 €/m²,470.000 €,273 m²,https://www.pisos.com/comprar/casa-sant_climent_de_llobregat_centro_urbano-25838748492_501711/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),273 m²,5,4,Entre 20 y 30 años,Reformado,501711-VD616,,Gas natural,Más de 2,N/A,Privado,,246 m²,,,Terrazo,,N/A,,,,,,N/A,N/A,Aluminio,N/A,N/A,N/A,,N/A,,N/A,102 m²,N/A,2,,N/A,,N/A,,,Endesa,N/A,N/A,,
Ático en Carrer de Pius XII,PISAZOS.COM,2.605 €/m²,469.000 €,180 m²,https://www.pisos.com/comprar/atico-cornella_de_llobregat_centre-50927084576_997902/,Anuncio actualizado el 30/01/2025,"E, E","E, E",baix_llobregat (BCN),180 m²,5,2,Más de 50 años,En buen estado,4997902-25005,Frío,,,N/A,,,168 m²,2ª,,Gres,N/A,N/A,,N/A,Oeste,N/A,,,,Madera,,Office,35m²,N/A,,N/A,,,,Más de 2,N/A,18m²,,,N/A,,,,,,
Piso en Carrer de Sant Jordi,GUIMAR CONSULTING,4.600 €/m²,460.000 €,100 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-50914572052_100500/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),100 m²,3,2,Entre 5 y 10 años,,SA4468-GC02474/10008,,Gas natural,,N/A,,Comunitaria,80 m²,4ª,,,,N/A,N/A,N/A,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Jordi,GUIMAR CONSULTING,4.400 €/m²,440.000 €,100 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-49235629583_100500/,Anuncio actualizado el 07/02/2025,"E, D","E, D",baix_llobregat (BCN),100 m²,3,2,Entre 10 y 20 años,,SA4468-GC02324/10008,,N/A,1,N/A,N/A,Comunitaria,71 m²,1ª,Entre 80 y 100 €,Parquet,,N/A,N/A,N/A,Sureste,,,,,,,,,,N/A,,,,,1,,,,,,,,,,,
"Casa adosada en Carrer Vermell, 70",ESTRENUS,2.890 €/m²,448.000 €,155 m²,https://www.pisos.com/comprar/casa_adosada-sant_boi_de_llobregat_centre-5166978744_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),155 m²,3,3,,A estrenar,4529415-21747328,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
Piso en Carrer d'Ignasi Iglesias,GUIMAR CONSULTING,3.515 €/m²,225.000 €,64 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-50015717689_100500/,Anuncio actualizado el 08/02/2025,"E, E","E, E",baix_llobregat (BCN),64 m²,2,1,Entre 30 y 50 años,,SA4468-GC02428/10008,,,,,,,55 m²,2ª,,Parquet,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Martorell,MAREUS,1.655 €/m²,495.000 €,299 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50870014319_991098/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),299 m²,3,2,Menos de 5 años,A estrenar,4991098-1514,,,1,N/A,,,242 m²,1ª,,,,,,N/A,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,
Piso en  Pr Prolongación de La Rambla del Carmen,Neinor Homes,5.306 €/m²,398.000 €,75 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-33416339934_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),75 m²,3,2,,A estrenar,-2363,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Casa unifamiliar en Can Rial,Alfa pisos i casas Anoia,1.283 €/m²,340.000 €,265 m²,https://www.pisos.com/comprar/casa_unifamiliar-esparreguera_centro_urbano-44175631550_101000/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),265 m²,6,2,,,AF216-2322/33,Frío,,,80,,N/A,,,,,N/A,N/A,,,,,,,,,,,,,con cámaras de seguridad,,,,,,,,,,,Unifamiliar,,,,,
"Casa en Carrer General O'Donnell, 40",ESTRENUS,3.063 €/m²,576.000 €,188 m²,https://www.pisos.com/comprar/casa-sant_boi_de_llobregat_centre-5087872109_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),188 m²,3,3,,A estrenar,4529415-21744717,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Joaquim Rubió i Ors,ESTRENUS,4.132 €/m²,438.000 €,106 m²,https://www.pisos.com/comprar/piso-cornella_de_llobregat_centre-5162756155_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),106 m²,4,2,,A estrenar,4529415-21744270,,,,,,,,1ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Avinguda de la Constitució,NovaImmobiliaria,5.327 €/m²,618.000 €,116 m²,https://www.pisos.com/comprar/duplex-castelldefels_centre-38352928573_501711/,Anuncio actualizado el 20/02/2025,"A, A","A, A",baix_llobregat (BCN),116 m²,3,3,Menos de 5 años,A estrenar,501711-VD689,Aerotermia,Aerotermia,1,N/A,,,95 m²,4ª,,Parquet,,N/A,N/A,N/A,,N/A,,,N/A,Aluminio,,N/A,N/A,N/A,,N/A,N/A,,,,,,,,,,,,,,
"Piso en Carrer de Josep Anselm Clavé, 114",Corp Promotores,5.415 €/m²,482.000 €,89 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-5121278106_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),89 m²,3,2,,A estrenar,4994285-21697529,,,,,,,,2ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre-Zona Estació-Passeig de Joan Maragall,Engel & Völkers MMC Barcelona,6.234 €/m²,399.000 €,64 m²,https://www.pisos.com/comprar/piso-centre_zona_estacio_passeig_de_joan_maragall-5121998086_109700/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),64 m²,2,1,,A estrenar,IF76306-D-000MJ9,Frío y calor,,N/A,,,,,,,Parquet,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de la Constitució,NovaImmobiliaria,4.980 €/m²,498.000 €,100 m²,https://www.pisos.com/comprar/piso-castelldefels_centre-38422775792_501711/,Anuncio actualizado el 20/02/2025,"A, A","A, A",baix_llobregat (BCN),100 m²,3,2,Menos de 5 años,A estrenar,501711-VD681,Aerotermia,Aerotermia,1,N/A,,,86 m²,1ª,,Parquet,,N/A,N/A,N/A,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,,,,,,,,,,,,,,
Piso en Bajo Llobregat,Dionara Braz,2.000 €/m²,186.000 €,93 m²,https://www.pisos.com/comprar/piso-corbera_de_llobregat_centro_urbano-48387690774_108700/,Anuncio actualizado el 20/02/2025,"F, E","F, E",baix_llobregat (BCN),93 m²,3,2,Entre 30 y 50 años,,UVC156-29500,N/A,N/A,,N/A,,,93 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Barri Antic,VILAFINCAS ASOCIADOS,2.611 €/m²,235.000 €,90 m²,https://www.pisos.com/comprar/piso-eixample_centre_barri_antic-50932563807_100500/,Anuncio actualizado el 11/02/2025,"F, F","F, F",baix_llobregat (BCN),90 m²,4,1,Más de 50 años,,SA5067-pi-929/2065,,,,,,,81 m²,1ª,,Gres,,N/A,N/A,N/A,Este,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Cairat,MACROFINCAS S.L,2.213 €/m²,363.000 €,164 m²,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-21760369193_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),164 m²,3,3,Entre 30 y 50 años,,SA565-MCM5016SA/1454,N/A,Eléctrica,,N/A,,,106 m²,,,,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,
Piso en Eixample,EXEL REAL ESTATE,2.996 €/m²,449.500 €,150 m²,https://www.pisos.com/comprar/piso-sant_joan_despi_centro_urbano08970-51706156459_108900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),150 m²,3,2,,,XA595-4068,Frío,Gas natural,1,16m²,,Propia,98 m²,,,,,N/A,N/A,,Sureste,N/A,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer d'Eduard Toldrà,GUIMAR CONSULTING,6.086 €/m²,280.000 €,46 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-51731981208_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",baix_llobregat (BCN),46 m²,2,1,Más de 50 años,,SA4468-GC02529/10008,N/A,N/A,,N/A,,,45 m²,1ª,,Parquet,,,N/A,N/A,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer d'Euskadi,PROYECTOS BRUC,922 €/m²,134.700 €,146 m²,https://www.pisos.com/comprar/casa-abrera_centro_urbano-47507269571_324700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),146 m²,2,2,,A estrenar,3247-056022,,,,,,,146 m²,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Sant Ildefons,TECNOCASA ESTUDIO CORNELLA,2.775 €/m²,136.000 €,49 m²,https://www.pisos.com/comprar/piso-sant_ildefons-50063844486_100200/,Anuncio actualizado el 24/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),49 m²,2,1,Más de 50 años,En buen estado,TC77-603340,,,,,,,,4ª,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en Camino Can Sala,  S/N",PREMIER ESPAÑA,3.681 €/m²,405.000 €,110 m²,https://www.pisos.com/comprar/piso-la_torre_roja_camprecios_grup_sant_jordi-5119245116_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),110 m²,3,2,,A estrenar,4992912-21717294,,,N/A,N/A,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Abrera,Corp Promotores,3.557 €/m²,185.000 €,52 m²,https://www.pisos.com/comprar/piso-abrera_centro_urbano-5133592586_109700/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),52 m²,1,1,,A estrenar,4994285-21697545,,,,,,,,2ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Margarita Biosca,DOSPUNTS,2.289 €/m²,174.000 €,76 m²,https://www.pisos.com/comprar/piso-olesa_de_montserrat_centro_urbano-37557381603_522414/,Anuncio actualizado el 21/01/2025,"E, E","E, E",baix_llobregat (BCN),76 m²,3,1,Entre 10 y 20 años,En buen estado,4522414-000004,Frío y calor,,,,,,76 m²,3ª,,Gres,,,,,Sur,N/A,,Sapelli,,Aluminio,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,
Chalet en Vallirana,FINCAS-MIRANDA.COM,1.100 €/m²,660.000 €,600 m²,https://www.pisos.com/comprar/chalet-vallirana_centro_urbano-22570629240_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),600 m²,8,5,Entre 30 y 50 años,En buen estado,SA3820-05984,,Gasoil,Más de 2,N/A,Privado,Propia,522 m²,,,Gres,,N/A,,,Norte,,,N/A,,Aluminio,,N/A,N/A,,,,,1.647 m²,,,,N/A,,,N/A,,,,,,
Piso en La Gavarra,TECNOCASA ESTUDIO CORNELLA,3.461 €/m²,270.000 €,78 m²,https://www.pisos.com/comprar/piso-la_gavarra-48360370300_100200/,Anuncio actualizado el 18/02/2025,"A, A","A, A",baix_llobregat (BCN),78 m²,3,1,Más de 50 años,En buen estado,TC77-596960,N/A,,,,,,,,,Parquet,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Josep Anselm Clavé, 114",Corp Promotores,5.641 €/m²,378.000 €,67 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-5120124751_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),67 m²,2,1,,A estrenar,4994285-21697524,,,,,,,,Bajo,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Passeig de Garbí,PISOS MARINA CENTER - CASTELLDEFELS,3.888 €/m²,315.000 €,81 m²,https://www.pisos.com/comprar/piso-lluminetes-50841926502_511025/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),81 m²,2,1,Entre 30 y 50 años,En buen estado,511025-000820,Frío y calor,Central,,N/A,,,71 m²,1ª,,Parquet,N/A,,,,Noreste,N/A,,N/A,N/A,Aluminio,,N/A,N/A,,,N/A,,,,,,N/A,,,,,,,,,
Chalet en Bajo Llobregat,Dionara Braz,1.133 €/m²,390.000 €,344 m²,https://www.pisos.com/comprar/chalet-corbera_de_llobregat_centro_urbano-49233016867_108700/,Anuncio actualizado el 20/02/2025,"G, G","G, G",baix_llobregat (BCN),344 m²,7,4,Más de 50 años,,UVC156-30408,N/A,N/A,,N/A,,,344 m²,,,,,,,,,,,,,,,,,,,,,189 m²,,,,,,,,,,,,,
Dúplex en Molins de Rei,Engel & Völkers MMC Barcelona,4.572 €/m²,599.000 €,131 m²,https://www.pisos.com/comprar/duplex-molins_de_rei_centro_urbano-4956932171_109700/,Anuncio actualizado el 18/12/2024,"B, A","B, A",baix_llobregat (BCN),131 m²,3,3,,A estrenar,IF76306-D-000HZS,Frío y calor,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Torrelles de Llobregat,FINCAS ROSILLO,1.636 €/m²,450.000 €,275 m²,https://www.pisos.com/comprar/casa-torrelles_de_llobregat_centro_urbano-47541329479_997822/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),275 m²,4,3,Entre 30 y 50 años,En buen estado,4997822-135-24,,Gas natural,Más de 2,Varias terrazas,Privado,Propia,160 m²,,,Gres,,N/A,,,Sureste,,,Sapelly,,Aluminio,,Office,Con chimenea,,,,,700 m²,N/A,,N/A,N/A,,,N/A,,,N/A,N/A,,
"Ático en Carrer de Joan Miró,  s/n",VIA CELERE,7.977 €/m²,1.268.500 €,159 m²,https://www.pisos.com/comprar/atico-esplugues_de_llobregat_centro_urbano08950-5064698985_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),159 m²,4,2,,A estrenar,4993266-0050,,,N/A,N/A,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer de la Farigola, 2",ESTRENUS,2.964 €/m²,581.000 €,196 m²,https://www.pisos.com/comprar/casa-el_mas_rates_la_montserratina_el_ginestar-5092861766_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),196 m²,3,3,,A estrenar,4529415-21747346,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,7.408 €/m²,1.318.724 €,178 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-5175509108_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),178 m²,4,3,,A estrenar,IF76306-D-0009PA,Frío y calor,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Vallirana,MONAPART,3.006 €/m²,475.000 €,158 m²,https://www.pisos.com/comprar/chalet-vallirana_centro_urbano-4941288480_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),158 m²,3,3,,A estrenar,IF76872-MC0012-4280,,,N/A,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Vallirana,EXEL REAL ESTATE,1.540 €/m²,399.000 €,259 m²,https://www.pisos.com/comprar/casa-vallirana_centro_urbano-50929400568_108900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),259 m²,3,3,,,XA595-4695,Frío y calor,Gas natural,1,Porche/terrazas/ barbacoa,,Propia,110 m²,,,,Altillo en garaje,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Casa en El Pla,BEST HOUSE MARTORELL,1.700 €/m²,425.000 €,250 m²,https://www.pisos.com/comprar/casa-martorell_centro_urbano-49225332079_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),250 m²,5,3,Más de 50 años,,SA449-746599/3134,N/A,N/A,1,N/A,N/A,,182 m²,,,Gres,N/A,N/A,,,Este,,,,,,,,,,N/A,,,235 m²,,1,,,,,N/A,,,,,,
Chalet en Vallirana,MONAPART,2.916 €/m²,455.000 €,156 m²,https://www.pisos.com/comprar/chalet-vallirana_centro_urbano-4985526712_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),156 m²,3,3,,A estrenar,IF76872-MC0012-4280,,,N/A,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Torrent Ballester-Can Palmer-Can Batllori,Engel & Völkers MMC Barcelona,3.619 €/m²,340.198 €,94 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-5094647242_109700/,Anuncio actualizado el 23/01/2025,"B, A","B, A",baix_llobregat (BCN),94 m²,3,2,,A estrenar,IF76306-D-000LCM,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Jordi,FINCAS DUEÑAS,4.583 €/m²,440.000 €,96 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-50924825734_994044/,Anuncio actualizado el 11/02/2025,"E, D","E, D",baix_llobregat (BCN),96 m²,3,2,Entre 10 y 20 años,Reformado,4994044-Piso a la venta. Calle Sant Jordi.,,Gas natural,1,De 12m²,,,80 m²,Bajo,Entre 60 y 80 €,Parquet,,,N/A,,,N/A,,Lacadas en color blanco.,,Aluminio,,Acceso al patio de 23m².,Con salida a la terraza de 12m².,,,N/A,,,,,,,,,,,,,,,
Piso en Vallirana,Engel & Völkers MMC Barcelona,3.526 €/m²,246.852 €,70 m²,https://www.pisos.com/comprar/piso-vallirana_centro_urbano-5073301536_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),70 m²,2,2,,A estrenar,IF76306-D-000LNI,Frío y calor,,N/A,N/A,,,,,,Parquet,N/A,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Casa en Carrer de la Farigola, 2",ESTRENUS,3.004 €/m²,616.000 €,205 m²,https://www.pisos.com/comprar/casa-el_mas_rates_la_montserratina_el_ginestar-5094196092_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),205 m²,3,3,,A estrenar,4529415-21747310,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Jaume,PROYECTOS BRUC,2.039 €/m²,150.900 €,74 m²,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-49214786405_324700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),74 m²,1,1,,En buen estado,3247-056078,,,,,,,74 m²,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carretera de Cornellà,Neinor Homes,5.612 €/m²,303.100 €,54 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-50853513604_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),54 m²,2,1,,A estrenar,-2361,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Piso en Carrer Major,LA CASA AGENCY CASTELLDEFELS,3.576 €/m²,279.000 €,78 m²,https://www.pisos.com/comprar/piso-el_castell_poble_vell-49192941960_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",baix_llobregat (BCN),78 m²,3,2,Entre 30 y 50 años,En buen estado,BLU1-LCB33340,,,,N/A,,,65 m²,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
