nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Conservación,Referencia,Ascensor,Terraza,Superficie útil,Exterior,Antigüedad,Gastos de comunidad,Carpintería interior,Tipo suelo,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Balcón,Orientación,Garaje,Piscina,Armarios empotrados,Vidrios dobles,Puerta blindada,Urbanizado,Calle alumbrada,Calle asfaltada,Agua,Superficie solar,Trastero,Jardín,Sistema de seguridad,Soleado,Se aceptan mascotas,Chimenea,Portero automático,Adaptado a personas con movilidad reducida,Interior,Tipo de casa,Teléfono,Amueblado,Luz,No se aceptan mascotas
"Casa en Carrer de l'Artiga de Lin, 7",API GS,2.051 €/m²,359.000 €,175 m²,https://www.pisos.com/comprar/casa-ca_noriac08207-50859198455_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),175 m²,3,2,,,SA4294-131/10007,,N/A,174 m²,,Entre 20 y 30 años,,,Mármol,,,N/A,Gas natural,,N/A,,,Sureste,1,,1,,,,,,,,N/A,,,,,,,,,,,,,
"Piso en Carrer de Vidal, 48",CULMIA,2.820 €/m²,330.000 €,117 m²,https://www.pisos.com/comprar/piso-covadonga08202-5220230890_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),117 m²,3,2,,A estrenar,-PR00723,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Parc de L'alba,  S/N",CULMIA,4.369 €/m²,520.000 €,119 m²,https://www.pisos.com/comprar/piso-plana_del_castell_montflorit08290-5037062023_109700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),119 m²,3,2,Bajo,A estrenar,-PR01241,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,
Casa en Bellaterra,Coldwell Banker Premium Real Estate,4.118 €/m²,1.800.000 €,437 m²,https://www.pisos.com/comprar/casa-bellaterra_distrito08193-45835882591_106700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),437 m²,5,3,,,IFC76325-CBSC149,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600 m²,,,,,,,,,,,,,,
Piso en Passeig dels Almogàvers,FINSA SABADELL,2.471 €/m²,220.000 €,89 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-50854132873_518064/,Anuncio actualizado el 18/02/2025,"G, G","G, G",valles_occidental_sud (BCN),89 m²,3,1,1ª,En buen estado,4518064-3939,,,67 m²,N/A,Más de 50 años,Entre 20 y 40 €,Lacadas blancas,Gres,Aluminio,,Frío y calor,Eléctrica,9m²,20m²,,N/A,Sureste,,,,N/A,,,,,,,,,,N/A,,,N/A,,,,,,,
Chalet unifamiliar en Palau-Solità I Plegamans,INMOBILIARIA ARGEMI,2.239 €/m²,618.000 €,276 m²,https://www.pisos.com/comprar/chalet_unifamiliar-palau_solita_i_plegamans_centro_urbano-51718523976_516203/,Anuncio actualizado el 20/02/2025,"D, E","D, E",valles_occidental_sud (BCN),276 m²,5,3,,Reformado,516203-60011411,,,276 m²,,Entre 30 y 50 años,,,Gres,Aluminio,,Frío y calor,Eléctrica,N/A,N/A,N/A,,Suroeste,1,Propia,,N/A,N/A,,N/A,,,661 m²,,Privado,N/A,,,,,,,,,,,
"Piso en Carretera de Barcelona, 200",REALIA BUSINESS S.A.,2.556 €/m²,401.300 €,157 m²,https://www.pisos.com/comprar/piso-distrito_gracia08205-5259734970_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),157 m²,4,2,3ª,A estrenar,-99947,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda d'Europa, 29",VIA CELERE,2.870 €/m²,401.800 €,140 m²,https://www.pisos.com/comprar/piso-mas_rampinyo_carrerada_mas_pomada-3561172789_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),140 m²,4,2,,A estrenar,4993266-0274,N/A,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,
"Piso en calle Víctor Català y C/ Dels Boters,  S/N",CANO & PUJOL,3.629 €/m²,225.000 €,62 m²,https://www.pisos.com/comprar/piso-palau_solita_i_plegamans_centro_urbano-4910227060_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),62 m²,1,1,Bajo,A estrenar,EP1034-21509574,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Quirze del Vallès,Engel & Völkers MMC Barcelona,4.333 €/m²,520.000 €,120 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-5133164445_109700/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),120 m²,3,2,,A estrenar,IF76306-D-000LMR,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer dels Calders, 157",PREMIER ESPAÑA,2.891 €/m²,266.000 €,92 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-3583566194_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_occidental_sud (BCN),92 m²,3,2,,A estrenar,4992912-20064627,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Frederic Mompou,  1",LA LLAVE DE ORO,2.700 €/m²,324.000 €,120 m²,https://www.pisos.com/comprar/piso-mas_rampinyo_carrerada_mas_pomada-4844752365_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),120 m²,4,2,1ª,A estrenar,4993346-21423896,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Canonge Joncar,OB-Grup Inmobiliari,2.130 €/m²,179.000 €,84 m²,https://www.pisos.com/comprar/piso-la_creu_alta08208-48372775002_342600/,Anuncio actualizado el 07/02/2025,"E, E","E, E",valles_occidental_sud (BCN),84 m²,3,1,Bajo,Reformado,3426-356602,N/A,,79 m²,Salon,Entre 30 y 50 años,Entre 10 y 20 €,,Gres,Aluminio,N/A,Frío,Gas natural,N/A,,,N/A,Suroeste,,,,N/A,,,,,,,,,,,,,N/A,,,,,,,
"Piso en Avinguda de Catalunya, 17",Corp Promotores,4.067 €/m²,240.000 €,59 m²,https://www.pisos.com/comprar/piso-fontetes_carretera_de_barcelona-5151828903_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),59 m²,2,2,1ª,A estrenar,4994285-21697631,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Jaume Balmes, 33",Tot Habitat Montcada,3.390 €/m²,295.000 €,87 m²,https://www.pisos.com/comprar/piso-montcada_centre_la_ribera-44196039383_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),87 m²,3,2,,,IF6418-22,N/A,,,,,,,,,,,Central,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Vallès,FINSA SABADELL,2.869 €/m²,330.000 €,115 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-50903788150_518064/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_sud (BCN),115 m²,4,1,1ª,En buen estado,4518064-3941,,20m²,85 m²,Orientación sur,Más de 50 años,,N/A,Parquet,Aluminio,N/A,Frío y calor,Gas natural,6m²,20m²,En la terraza,,Sur,1,,1,Climalit,,,,,,,,,,Orientación sur,,,,,,,,,,
Chalet en Vallés Occidental,Patricia Rodriguez,2.076 €/m²,297.000 €,143 m²,https://www.pisos.com/comprar/chalet-zona_nord_la_serreta-47571938988_108700/,Anuncio actualizado el 20/02/2025,"F, E","F, E",valles_occidental_sud (BCN),143 m²,5,2,,,UVC179-28603,,N/A,143 m²,,Más de 50 años,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,4.254 €/m²,246.750 €,58 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-4936125003_109700/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),58 m²,2,1,,A estrenar,IF76306-D-000L8G,N/A,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Vidal, 48",CULMIA,2.574 €/m²,288.311 €,112 m²,https://www.pisos.com/comprar/piso-covadonga08202-5062299950_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),112 m²,3,2,,A estrenar,-PR00723,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Montcada Centre-La Ribera,Tot Habitat Montcada,3.023 €/m²,257.000 €,85 m²,https://www.pisos.com/comprar/piso-montcada_centre_la_ribera-48374798179_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),85 m²,3,2,2ª,,IF6418-2078,N/A,,,,,,,,,,,Central,,,N/A,,,1,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Muntaner,SAI ASSESSORAMENT IMMOBILIARI,1.812 €/m²,145.000 €,80 m²,https://www.pisos.com/comprar/piso-la_concordia08206-41722333928_518727/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),80 m²,3,1,Bajo,A reformar,4518727-020333,,,68 m²,N/A,Entre 30 y 50 años,,,Gres,,,,,,,8 m² cuadrados aproximadamente,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en San Ramòn,SOMNIS GESTIONS IMMOBILIARIES,1.478 €/m²,170.000 €,115 m²,https://www.pisos.com/comprar/piso-cerdanyola_del_valles_sant_ramon-34207295758_108900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),115 m²,,,,A reformar,XA563-P-1914,,N/A,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carretera de Rubí a Ullastrell,PERITAX,1.993 €/m²,319.000 €,160 m²,https://www.pisos.com/comprar/casa-sant_muc_castellnou_can_mir-47546874608_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),160 m²,4,2,,,SA730-V10688/2691,,N/A,120 m²,,Entre 10 y 20 años,,,Gres,,,N/A,Eléctrica,,N/A,,,Este,1,,,,,,,,N/A,502 m²,N/A,N/A,,,,,,,,,N/A,,,
Piso en calle de Barcelona,OWL SERVEIS IMMOBILIARIS SQV,2.761 €/m²,185.000 €,67 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-50088034175_101300/,Anuncio actualizado el 20/02/2025,"F, F","F, F",valles_occidental_sud (BCN),67 m²,,,,,API152-A12742,,,61 m²,,Más de 50 años,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Vallés Occidental,Inma Caballero,2.190 €/m²,230.000 €,105 m²,https://www.pisos.com/comprar/piso-castellbisbal_centro_urbano-51758200485_108700/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),105 m²,4,1,,,UVC801-31947,N/A,,105 m²,,Más de 50 años,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Sant Pere,IMMOBILIàRIA FARNéS,1.264 €/m²,445.000 €,352 m²,https://www.pisos.com/comprar/casa-palau_solita_i_plegamans_centro_urbano-49196897552_500554/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_occidental_sud (BCN),352 m²,4,2,,A reformar,500554-005252,,N/A,148 m²,,Entre 30 y 50 años,,,Gres,Aluminio,,,Gas natural,N/A,N/A,N/A,,Sureste,2,,,,,N/A,N/A,N/A,,271 m²,,Privado,,,,,,,,,,,,
Casa en Carretera Antiga a Sabadell,VILLAHERMOSA,2.316 €/m²,695.000 €,300 m²,https://www.pisos.com/comprar/casa-terra_nostra_font_pudenta-51721243025_993906/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),300 m²,5,3,,A estrenar,4993906-1828,,N/A,285 m²,,,,,Mármol,Aluminio,,,Gasoil,,30,,,Sur,,Propia,Más de 2,N/A,,,,,,630 m²,,Privado,,,,,,,,,,,,
Casa adosada en Centre,Grup Tecnocasa Sant Cugat,2.715 €/m²,630.000 €,232 m²,https://www.pisos.com/comprar/casa_adosada-sant_cugat_del_valles_centre08172-50037193747_100200/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_sud (BCN),232 m²,4,2,,En buen estado,TC423-604589,,N/A,,,Entre 30 y 50 años,,,,,,N/A,,,,,,,1,,,,,,,,,,,,,,,,,,,Adosada,,,,
"Piso en Carrer de Victoria dels Àngels, 2",LA LLAVE DE ORO,2.374 €/m²,349.000 €,147 m²,https://www.pisos.com/comprar/piso-mas_rampinyo_carrerada_mas_pomada-5129847486_109700/,Anuncio actualizado el 17/01/2025,"A, A","A, A",valles_occidental_sud (BCN),147 m²,4,2,Bajo,A estrenar,4993346-0,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre,LAUDOR XXI,2.366 €/m²,530.000 €,224 m²,https://www.pisos.com/comprar/casa-centre_covadonga_centre08201-41695418404_106700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),224 m²,4,4,,,IFC76145-1083,,,185 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Victoria dels Àngels, 2",LA LLAVE DE ORO,2.621 €/m²,322.500 €,123 m²,https://www.pisos.com/comprar/piso-mas_rampinyo_carrerada_mas_pomada-5086392070_109700/,Anuncio actualizado el 17/01/2025,"A, A","A, A",valles_occidental_sud (BCN),123 m²,3,2,Bajo,A estrenar,4993346-0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Quirze del Vallès,Engel & Völkers MMC Barcelona,4.500 €/m²,630.000 €,140 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-4842169658_109700/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),140 m²,4,2,,A estrenar,IF76306-D-000LMR,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Torners,FINQUES FERRAN PLADELLORENS,1.726 €/m²,145.000 €,84 m²,https://www.pisos.com/comprar/piso-espronceda_campoamor_espronceda08204-51728024930_992671/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_sud (BCN),84 m²,3,1,3ª,En buen estado,4992671-2019,N/A,,67 m²,N/A,Más de 50 años,,,Gres,Aluminio,N/A,Frío y calor,Gas natural,N/A,Con balcón,,N/A,Este,,,,,N/A,,,,,,,,,N/A,,,,N/A,,,,,,
"Chalet en calle Lloc Vallensana, nº 24",Tot Habitat Montcada,2.900 €/m²,725.000 €,250 m²,https://www.pisos.com/comprar/chalet-reixac_vallensana-45060619254_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),250 m²,8,2,,,IF6418-2068,,N/A,,,Más de 50 años,,,,,,,,,,N/A,,,1,,,,,,,,,12.200 m²,N/A,Privado,,,,,,,,,,,,
"Piso en Carrer dels Calders, 157",PREMIER ESPAÑA,2.369 €/m²,417.000 €,176 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-5195365417_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_occidental_sud (BCN),176 m²,3,2,,A estrenar,4992912-0,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Centre-Cordelles,Engel & Völkers MMC Barcelona,2.958 €/m²,355.000 €,120 m²,https://www.pisos.com/comprar/apartamento-centre_cordelles-5087168376_109700/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),120 m²,3,2,,A estrenar,IF76306-D-000MM2,,N/A,,,,,,,,,Frío y calor,,N/A,,,N/A,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,
Chalet en Palau-solità i Plegamans,MONAPART,3.082 €/m²,410.000 €,133 m²,https://www.pisos.com/comprar/chalet-palau_solita_i_plegamans_centro_urbano-4931388547_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),133 m²,4,3,,A estrenar,IF76872-MC0012-4350,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,Privado,,,,,,,,,,,,
Piso en Carrer del Berguedà,IMMOBILIÀRIA TISA,2.147 €/m²,146.000 €,68 m²,https://www.pisos.com/comprar/piso-ca_noriac08207-50008061225_180300/,Anuncio actualizado el 17/02/2025,"F, F","F, F",valles_occidental_sud (BCN),68 m²,3,1,2ª,En buen estado,1803-012403,,,68 m²,N/A,Más de 50 años,Entre 40 y 60 €,Madera,Gres,Aluminio,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,N/A,Sur,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,
Chalet en Vallés Occidental,Inma Caballero,2.652 €/m²,451.000 €,170 m²,https://www.pisos.com/comprar/chalet-castellbisbal_centro_urbano-49207229816_108700/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_occidental_sud (BCN),170 m²,4,3,,,UVC801-29960,,,170 m²,,Entre 30 y 50 años,,,,,,,,,,,,,,,,,,,,,,550 m²,,N/A,,,,,,,,,,,,
Casa adosada en Santa Perpètua de Mogoda,ANGELS DE LA LLAR,2.380 €/m²,349.900 €,147 m²,https://www.pisos.com/comprar/casa_adosada-santa_perpetua_de_mogoda_centro_urbano-49253522422_101800/,Anuncio actualizado el 11/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),147 m²,4,3,,,IF76867-RV00353,,N/A,,,Entre 30 y 50 años,,,,,,,Central,,,,,,1,,1,,,,,,,,,Privado,,,,,,,,Adosada,,,,
Piso en Sant Quirze del Vallès,Engel & Völkers MMC Barcelona,4.333 €/m²,520.000 €,120 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-5179611994_109700/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),120 m²,3,2,,A estrenar,IF76306-D-000LMR,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Mira-sol,Grup Tecnocasa Sant Cugat,1.859 €/m²,850.000 €,457 m²,https://www.pisos.com/comprar/casa_unifamiliar-sant_cugat_del_valles_mira_sol08195-33348057349_100200/,Anuncio actualizado el 19/02/2025,"F, E","F, E",valles_occidental_sud (BCN),457 m²,6,3,,En buen estado,TC423-542893,,N/A,,,Entre 20 y 30 años,,,Gres,,,N/A,Central,,,,,,1,Propia,1,,,,,,,,N/A,,N/A,,,,,,,Unifamiliar,,,,
Casa en Carrer de la Drecera,IMMOBILIàRIA FARNéS,2.094 €/m²,490.000 €,234 m²,https://www.pisos.com/comprar/casa-palau_solita_i_plegamans_centro_urbano-47527362342_500554/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),234 m²,3,2,,En buen estado,500554-005245,,N/A,92 m²,,Entre 10 y 20 años,,Roble,N/A,PVC,,Frío y calor,Gas natural,Amb sortida a la zona barbacoa,"Ampli, amb sortida a la zona chill-aut",N/A,,,2,,,N/A,N/A,N/A,N/A,N/A,,406 m²,,Privado,,,,,,,,,,,,
Piso en Avinguda de la Concòrdia,IMMOBILIÀRIA TISA,2.500 €/m²,255.000 €,102 m²,https://www.pisos.com/comprar/piso-ca_noriac08206-50892126498_180300/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),102 m²,4,1,3ª,En buen estado,1803-012410,N/A,N/A,86 m²,N/A,Más de 50 años,N/A,Madera,Gres,Aluminio,,Frío,Gas natural,Reformada,Grande,,,Sur,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,N/A,,,,,,
"Piso en Avinguda d'Europa, 29",VIA CELERE,2.755 €/m²,303.100 €,110 m²,https://www.pisos.com/comprar/piso-mas_rampinyo_carrerada_mas_pomada-5254634892_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),110 m²,3,2,,A estrenar,4993266-0274,N/A,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,
Chalet en Reixac-Vallensana,Tot Habitat Montcada,2.636 €/m²,675.000 €,256 m²,https://www.pisos.com/comprar/chalet-reixac_vallensana-44211883081_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),256 m²,4,3,,,IF6418-2065,,N/A,,,Más de 50 años,,,,,,,Central,N/A,,N/A,,,1,Propia,1,,,,,,,1.300 m²,,Privado,,,,,,,,,,,,
Chalet en Terra Nostra-Font Pudenta,Tot Habitat Montcada,1.766 €/m²,530.000 €,300 m²,https://www.pisos.com/comprar/chalet-terra_nostra_font_pudenta-34167224805_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),300 m²,4,2,,,IF6418-2009,,N/A,,,,,,,,,,Central,,,N/A,,A la montaña,1,,,,N/A,,,,,400 m²,,,,,,,,,,,,,,
Piso en Centre,NOVA FINQUES,2.437 €/m²,238.900 €,98 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-50066191336_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",valles_occidental_sud (BCN),98 m²,3,2,3ª,,SA3386-GVI40632/8710,N/A,,86 m²,,Entre 20 y 30 años,Entre 40 y 60 €,,,,,N/A,Gas natural,,,,,Suroeste,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,
Casa en Carrer de l'Avellaneda,PERITAX,2.514 €/m²,269.000 €,107 m²,https://www.pisos.com/comprar/casa-centre_covadonga_centre08201-48378873922_100500/,Anuncio actualizado el 13/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),107 m²,2,2,,,SA730-V10692/2691,,N/A,82 m²,,Más de 50 años,,,,,,,,,,,,Sur,,,1,,,,,,N/A,,,,N/A,,,,,,,,N/A,,,
Piso en Carrer de l'Abat Escarré,JC Immobles Sabadell,3.613 €/m²,159.000 €,44 m²,https://www.pisos.com/comprar/piso-la_concordia08206-50875816328_527045/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),44 m²,1,1,Bajo,A reformar,527045-JC114,N/A,,44 m²,"Habitación , comedor y cocina",Entre 20 y 30 años,Entre 40 y 60 €,,Gres,Aluminio,N/A,,Gas natural,N/A,N/A,N/A,,Oeste,1,,2,N/A,N/A,,,,,,N/A,,N/A,N/A,N/A,,N/A,N/A,Lavabo,,N/A,,,
Ático en Can Rull,AMIDA IMMOBLES,1.875 €/m²,135.000 €,72 m²,https://www.pisos.com/comprar/atico-can_rull08206-49232851424_519487/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),72 m²,2,1,4ª,En buen estado,519487-001153,,,65 m²,N/A,Más de 50 años,Entre 20 y 40 €,N/A,Parquet,Aluminio,N/A,,Gas natural,N/A,N/A,N/A,,Sur,,,,N/A,N/A,,,,,,N/A,,,N/A,,,N/A,,N/A,,,,,
"Piso en Carretera de Barcelona, 200",REALIA BUSINESS S.A.,2.253 €/m²,362.800 €,161 m²,https://www.pisos.com/comprar/piso-distrito_gracia08205-4368248892_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),161 m²,4,2,3ª,A estrenar,-99947,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Concòrdia,SAI ASSESSORAMENT IMMOBILIARI,2.205 €/m²,225.000 €,102 m²,https://www.pisos.com/comprar/piso-la_concordia08206-51745571784_518727/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),102 m²,4,2,3ª,En buen estado,4518727-020371,N/A,,80 m²,N/A,Más de 50 años,,,Parquet,Aluminio,,Frío y calor,Gas natural,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Borràs, 63",PERITAX,3.549 €/m²,465.000 €,131 m²,https://www.pisos.com/comprar/piso-la_creu_alta08208-4573337876_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),131 m²,3,2,1ª,A estrenar,SA730-ONB6307,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer del Florit,JC Immobles Sabadell,2.574 €/m²,172.500 €,67 m²,https://www.pisos.com/comprar/piso-can_puiggener08208-51728116546_527045/,Anuncio actualizado el 18/02/2025,"D, D","D, D",valles_occidental_sud (BCN),67 m²,2,2,1ª,En buen estado,527045-JC119,N/A,,67 m²,N/A,Entre 5 y 10 años,Entre 40 y 60 €,N/A,Parquet,Aluminio,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,,,1,,,N/A,N/A,,,,,,,,N/A,N/A,N/A,,N/A,N/A,,,N/A,,,
Casa en Carrer de Garcilaso,PERITAX,2.662 €/m²,1.595.000 €,599 m²,https://www.pisos.com/comprar/casa-centre_covadonga_centre08201-50069089008_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),599 m²,7,5,,,SA730-V10697/2691,,N/A,497 m²,,Entre 5 y 10 años,,,Parquet,,,N/A,N/A,,,,,Norte,1,Propia,1,,N/A,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,,
Piso en Can Rull,VALLES INMOBILIARIA,1.928 €/m²,189.000 €,98 m²,https://www.pisos.com/comprar/piso-can_rull08206-51716190123_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),98 m²,3,1,5ª,,SA4822-8148-/10724,N/A,,82 m²,,Más de 50 años,,,Gres,,,,,,N/A,,,Este,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,4.929 €/m²,695.000 €,141 m²,https://www.pisos.com/comprar/piso-sant_cugat_del_valles_centre08172-4881044425_109700/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),141 m²,3,2,,A estrenar,IF76306-D-000L7T,,N/A,,,,,,Parquet,,,Frío y calor,,N/A,,,N/A,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,
